name_heb,recon,gender_heb,ctz_heb,occ,birth,death,pob,pod,viaf,wikidata_id
"גורדון, יהודה ליב",Judah Leib Gordon,זכר,האימפריה הרוסית,"משורר, תסריטאי, מתרגם, סופר",1830,1892,וילנה,סנט פטרבורג,51697870,Q1376036
"גולדפאדן, אברהם",Abraham Goldfaden,זכר,האימפריה הרוסית,"מחזאי, לבריתן, סופר, משורר",1840,1908,סטרוקונסטנטינוב,ניו יורק,66613610,Q330024
"בסוק, משה",׳�׳©׳” ׳‘׳¡׳•׳§,זכר,ישראל,"משורר, עורך עיתון, מתרגם, עריכה ספרותית",1907,1966,,,44136499,Q7038156
"בנבנשת, וידאל",׳•׳™׳“׳�׳� ׳‘׳ ׳‘׳ ׳©׳×,זכר,,משורר,1380,1439,,,67522257,Q12407110
"בן-ציון, שמחה",Simcha Ben Zion,זכר,,"עיתונאי, משורר",1870,1932,טלנשטי,תל אביב,69347345,Q2905102
"ביאליק, חיים נחמן",Hayim Nahman Bialik,זכר,אוקראינה,"משורר, סופר, מתרגם",1873,1934,ווהלין,וינה,41958361,Q359705
"ארלוזורוב, חיים",Haim Arlosoroff,זכר,המנדט הבריטי,"פוליטיקאי, כלכלן, סופר",1899,1933,רומני,תל אביב,64806963,Q726510
"אפרת, ישראל",Israel Isaac Efros,זכר,ישראל,"משורר, מילונאי, רב",1891,1981,אוקראינה,ישראל,17593595,Q12408379
"אלחריזי, יהודה",Yehuda Alharizi,זכר,ספרד,"משורר, מתרגם",1170,1235,טולדו,חלב,88896884,Q1350978
"אלבלינגר, זאב",׳–׳�׳‘ ׳�׳�׳‘׳�׳™׳ ׳’׳¨,זכר,,"אגרונומיה, סופר, מתרגם", זאב,,ורשה,ישראל,50683270,Q28532615
"אימבר, נפתלי הרץ",Naftali Herz Imber,זכר,אוקראינה,"משורר, סופר",1856,1909,זלוטשוב,מנהטן,816021,Q359717
"אונגר, חיים יעקב","אונגר, חיים יעקב",,,,1826,1912,,,76202604,
"אבן עזרא, משה",Moses ibn Ezra,זכר,ספרד,"משורר, רב",1060,1139,גרנדה,,86836195,Q719393
"אבן עזרא, אברהם",Abraham ibn Ezra,זכר,אל-אנדלוס,"משורר, רב, סופר, מתרגם, פילוסוף, אסטרולוג",1092,1167,טודלה,קלהורה,90633023,Q270670
"אבן כלפון, יצחק",׳™׳¦׳—׳§ ׳�׳‘׳� ׳›׳�׳₪׳•׳�,זכר,,משורר,960,1020,,,44535366,Q7028939
"אבן גבירול, שלמה בן יהודה",Solomon ibn Gabirol,זכר,ספרד,"משורר, רב, פילוסוף, סופר",1021,1058,מאלגה,ולנסיה,100186412,Q239355
